               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095418,            0.039569,                   0,             0.33803,             0.45207,             0.32563,             0.10895,            0.061553,            0.026001,                   0,             0.07024,           0.0033067,           0.0033067
                   1,            0.065345,            0.034059,                   0,             0.46689,             0.62176,             0.52574,             0.22039,            0.054552,            0.019356,                   0,            0.040174,           0.0065743,           0.0065743
                   2,            0.060163,            0.029347,                   0,             0.54821,             0.70984,             0.59003,             0.23175,            0.048648,            0.018151,                   0,            0.010043,           0.0097759,           0.0097759
                   3,            0.053978,            0.027601,                   0,             0.79874,             0.80196,             0.84887,             0.37495,            0.042494,             0.01751,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.048426,            0.025805,                   0,             0.82739,             0.83938,             0.88063,             0.40346,            0.043936,            0.017247,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.044877,            0.025664,                   0,             0.84756,             0.84266,             0.90434,              0.4987,            0.035066,            0.017136,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.042158,             0.02472,                   0,             0.85851,             0.87242,             0.91438,               0.473,            0.035982,            0.016312,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.041549,            0.024319,                   0,             0.85011,             0.83749,             0.88953,             0.48211,             0.03721,            0.016712,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.040253,             0.02376,                   0,             0.86329,             0.85881,             0.90049,             0.50946,            0.034948,            0.016329,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.039629,             0.02399,                   0,             0.86334,              0.8601,             0.91518,             0.45645,            0.037932,            0.016114,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.038409,            0.023025,                   0,             0.86227,             0.89202,             0.91897,             0.50216,            0.033257,            0.016167,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.036617,            0.023018,                   0,             0.86068,             0.89378,             0.92833,             0.55962,            0.031542,            0.015642,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.036064,            0.022643,                   0,             0.89866,             0.86788,             0.92815,             0.55139,            0.031805,            0.015399,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.035657,            0.023758,                   0,             0.88884,             0.87004,             0.91796,             0.51115,            0.032923,            0.015864,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.035523,            0.022807,                   0,             0.87372,             0.86788,             0.91699,             0.53107,            0.033026,            0.015664,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.034302,            0.021331,                   0,             0.87714,             0.90026,             0.93534,             0.55257,            0.031541,            0.015319,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.033574,            0.021616,                   0,             0.88899,              0.8899,             0.93985,             0.58644,            0.030022,            0.014905,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.03377,            0.020982,                   0,              0.8907,             0.88472,             0.94326,             0.56915,             0.02944,            0.015578,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.03332,            0.021427,                   0,             0.88088,             0.88126,             0.93367,              0.5785,            0.029778,            0.015173,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.032495,            0.020977,                   0,             0.88144,             0.86675,             0.94235,              0.5745,            0.029803,            0.015362,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.032003,            0.020208,                   0,             0.87507,             0.90544,             0.95107,             0.58846,            0.029338,             0.01513,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.032515,            0.021215,                   0,             0.90075,             0.86997,             0.93816,             0.55982,             0.03126,            0.015917,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.031083,            0.020724,                   0,             0.87922,             0.89581,              0.9384,             0.58489,            0.029376,            0.015699,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.031799,            0.020228,                   0,             0.88769,             0.89249,              0.9418,             0.59199,            0.029532,            0.015145,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.031248,             0.01991,                   0,             0.88861,             0.88731,             0.94076,             0.59127,            0.028807,            0.015343,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.030644,            0.019806,                   0,             0.89702,             0.90262,             0.94566,               0.592,             0.02914,            0.015408,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.031284,             0.01989,                   0,             0.88697,             0.90155,             0.94034,             0.58212,            0.030058,             0.01585,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.029776,            0.019055,                   0,             0.89817,             0.87953,             0.93719,             0.58564,            0.029062,            0.015564,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.029594,            0.018911,                   0,             0.89838,             0.89323,             0.94098,             0.56353,             0.03032,            0.015645,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.030589,            0.019786,                   0,             0.89572,              0.9012,             0.94169,             0.59554,            0.029382,            0.015168,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.029778,            0.019049,                   0,             0.87816,             0.88689,             0.93513,             0.59464,            0.028308,            0.015162,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.029951,            0.019136,                   0,             0.88114,             0.91221,             0.94528,             0.57191,            0.030453,            0.014873,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.029849,            0.019197,                   0,             0.89609,             0.89249,              0.9387,             0.59797,            0.028708,            0.015475,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.028826,            0.018592,                   0,             0.89004,             0.89123,             0.93582,             0.59847,            0.028559,            0.015523,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.028921,            0.019172,                   0,             0.87761,             0.88601,             0.93538,             0.59567,            0.028967,            0.015208,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.028409,            0.018549,                   0,             0.87958,             0.89119,             0.93607,             0.59739,            0.029117,            0.015645,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.029058,            0.019191,                   0,             0.88513,             0.91192,             0.94848,             0.59939,            0.028263,            0.015335,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.027554,            0.018667,                   0,             0.89582,             0.90933,             0.94833,             0.59441,            0.029125,            0.015198,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.028709,            0.018977,                   0,             0.89191,             0.89119,             0.93705,             0.59505,            0.028845,            0.015428,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.028743,            0.019606,                   0,             0.88575,             0.90386,             0.93631,             0.59837,            0.028411,            0.015342,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.027599,            0.018482,                   0,             0.87406,             0.90674,             0.94059,             0.59632,            0.028848,            0.015698,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.02704,            0.018397,                   0,             0.89013,              0.8815,             0.92949,             0.56697,            0.031061,            0.015921,                   0,             0.00604,             0.00604,             0.00604
                  42,             0.02717,            0.018179,                   0,              0.9077,             0.89168,             0.93842,             0.60455,            0.028391,            0.015541,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.027003,            0.018402,                   0,             0.88413,             0.91321,             0.94728,             0.60676,            0.028113,            0.015134,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.027227,            0.017543,                   0,             0.88832,              0.9067,             0.94441,             0.60825,             0.02826,            0.015354,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.026957,            0.017734,                   0,             0.90079,             0.89387,             0.94956,             0.60592,            0.028159,            0.015202,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.026428,            0.016627,                   0,             0.89741,             0.89515,             0.94132,             0.60755,            0.028276,            0.015557,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.02656,            0.017793,                   0,             0.89855,             0.90632,             0.94547,             0.60609,            0.028441,            0.015361,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.026657,            0.018518,                   0,             0.87106,              0.9171,             0.94317,              0.6011,            0.028461,            0.015528,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.025941,            0.016984,                   0,             0.87861,              0.9171,             0.94594,             0.59878,            0.028402,            0.015585,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.026399,            0.018359,                   0,              0.9061,             0.88472,             0.94454,              0.6016,             0.02839,            0.015673,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.025597,            0.016872,                   0,             0.90794,             0.88472,             0.94545,             0.59842,            0.028447,            0.015791,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.026063,            0.017194,                   0,             0.91123,             0.89119,             0.93693,             0.59728,            0.028653,            0.016025,                   0,            0.004951,            0.004951,            0.004951
